Depth,Salinity,Temperature,Date,zonal,merid,Vertical_velocity,Vertical_diffusivity,DIN,Chlorophyll,Month,Year,Realdepth
1,35.28050232,8.090376854,20020105,0.030610621,0.114166588,1.15E-08,0.009763923,9.832126617,0.184617162,1,2002,0.505760014
2,35.28050232,8.090382576,20020105,0.030618517,0.114173584,-1.88E-08,10.00716496,9.832126617,0.184617087,1,2002,1.555855274
3,35.28050232,8.090389252,20020105,0.030626843,0.114180945,-5.08E-08,10.00716496,9.832126617,0.184616927,1,2002,2.667681694
4,35.28050232,8.090396881,20020105,0.030635701,0.114188738,-8.49E-08,10.00716496,9.832127571,0.184616648,1,2002,3.85627985
5,35.28050232,8.09040451,20020105,0.030645227,0.114197083,-1.21E-07,10.00716496,9.832128525,0.18461626,1,2002,5.140361309
6,35.28050613,8.090413094,20020105,0.030655576,0.114206105,-1.61E-07,10.00716496,9.832129478,0.18461569,1,2002,6.5430336
7,35.28050613,8.09042263,20020105,0.030666942,0.114215963,-2.05E-07,10.00716496,9.832131386,0.184614941,1,2002,8.092518806
8,35.28050613,8.090434074,20020105,0.03067955,0.11422684,-2.53E-07,10.00716496,9.832133293,0.184613936,1,2002,9.822750092
9,35.28050613,8.090445518,20020105,0.03069366,0.114238925,-3.08E-07,10.00716496,9.832136154,0.184612624,1,2002,11.77367973
10,35.28050613,8.09045887,20020105,0.030709563,0.114252456,-3.69E-07,10.00716496,9.832139969,0.184610918,1,2002,13.99103832
11,35.28050613,8.090475082,20020105,0.03072756,0.114267632,-4.39E-07,10.00716496,9.832144737,0.184608717,1,2002,16.52532196
12,35.28050613,8.090492249,20020105,0.030747954,0.114284664,-5.19E-07,10.00716496,9.832151413,0.184605896,1,2002,19.42980194
13,35.28050995,8.090513229,20020105,0.030771011,0.114303701,-6.11E-07,10.00716496,9.83216095,0.184602361,1,2002,22.75761604
14,35.28050995,8.090536118,20020105,0.030796938,0.114324838,-7.16E-07,10.00716496,9.832172394,0.184597965,1,2002,26.55830002
15,35.28050995,8.09056282,20020105,0.03082585,0.114348054,-8.35E-07,10.00716496,9.832187653,0.18459259,1,2002,30.87456131
16,35.28051376,8.090592384,20020105,0.030857751,0.114373237,-9.68E-07,10.00716496,9.832206726,0.18458613,1,2002,35.74020386
17,35.28051376,8.090625763,20020105,0.030892543,0.114400171,-1.12E-06,10.00716496,9.832231522,0.184578545,1,2002,41.18002319
18,35.28051758,8.090662956,20020105,0.030930026,0.114428557,-1.28E-06,10.00716496,9.832262039,0.184569757,1,2002,47.21189499
19,35.28052139,8.090703964,20020105,0.030969927,0.114458025,-1.46E-06,10.00716496,9.83230114,0.18455977,1,2002,53.85063553
20,35.28052521,8.090748787,20020105,0.031011932,0.114488177,-1.66E-06,10.00716496,9.832348824,0.184548531,1,2002,61.11283875
21,35.28052902,8.090797424,20020105,0.031055691,0.114518598,-1.87E-06,10.00716496,9.832406044,0.184536047,1,2002,69.02168274
22,35.28053284,8.090849876,20020105,0.031100839,0.114548862,-2.09E-06,10.00716496,9.832476616,0.184522253,1,2002,77.61116028
23,35.28054047,8.090907097,20020105,0.031146977,0.114578515,-2.33E-06,10.00716496,9.832561493,0.184507094,1,2002,86.9294281
24,35.2805481,8.090970039,20020105,0.031193649,0.114607066,-2.59E-06,10.00716496,9.832663536,0.184490446,1,2002,97.04131317
25,35.28055573,8.09103775,20020105,0.031240297,0.114633955,-2.85E-06,10.00716496,9.832785606,0.184472151,1,2002,108.0302811
26,35.28056717,8.091112137,20020105,0.03128621,0.114658512,-3.13E-06,10.00716496,9.832933426,0.184452046,1,2002,120
27,35.28057861,8.091193199,20020105,0.031330422,0.114679925,-3.42E-06,10.00716496,9.833111763,0.184429836,1,2002,133.0758209
28,35.28059387,8.091285706,20020105,0.031371634,0.114697173,-3.73E-06,10.00716496,9.833370209,0.184401315,1,2002,147.40625
29,35.28060913,8.091385841,20020105,0.031408083,0.1147089,-4.05E-06,10.00716496,9.833763123,0.184362978,1,2002,163.1644592
30,35.2955513,8.164191246,20020105,0.031437397,0.11360243,-4.39E-06,4.606761932,10.0336256,0.167530615,1,2002,180.5499268
31,35.34260559,8.375902176,20020105,0.031456657,0.112765171,-8.88E-06,1.7015692,10.55234528,0.126454791,1,2002,199.7899628
32,35.39015579,8.566960335,20020105,0.033219542,0.108075291,-1.14E-05,0.000155609,11.2665987,0.073093776,1,2002,221.1411743
33,35.41087723,8.612826347,20020105,0.032238629,0.106277056,-1.41E-05,6.95E-05,11.887784,0.030296782,1,2002,244.890625
34,35.41419983,8.568787575,20020105,0.032038815,0.103833817,-1.74E-05,5.28E-05,12.25833225,0.008090098,1,2002,271.3563843
35,35.41632843,8.51157856,20020105,0.030927237,0.100950018,-1.84E-05,5.48E-05,12.41169548,0.001495142,1,2002,300.8875122
36,35.42057419,8.451733589,20020105,0.030119652,0.097843245,-1.99E-05,5.48E-05,12.47095871,0.001225232,1,2002,333.8628235
37,35.42400742,8.367651939,20020105,0.029799681,0.094447955,-2.17E-05,5.28E-05,12.53084183,0.001841773,1,2002,370.6884766
38,35.42279053,8.2240448,20020105,0.030345535,0.091463827,-2.37E-05,4.66E-05,12.63554096,0.002038627,1,2002,411.7938538
39,35.41079712,7.974452496,20020105,0.030876245,0.088351391,-2.44E-05,4.22E-05,12.79965878,0.001754963,1,2002,457.6256104
40,35.38534164,7.605735302,20020105,0.032792728,0.08630985,-2.77E-05,4.19E-05,13.0030489,0.001471603,1,2002,508.6398926
41,35.34649277,7.094382763,20020105,0.035823453,0.085204527,-3.23E-05,4.18E-05,13.2215271,0.00134963,1,2002,565.2922974
42,35.30770111,6.575459003,20020105,0.039346036,0.085458279,-3.70E-05,5.02E-05,13.38894272,0.001327042,1,2002,628.026001
43,35.27085495,6.052036285,20020105,0.044350121,0.085961513,-4.37E-05,6.00E-05,13.46640873,0.001333888,1,2002,697.258667
44,35.25094986,5.697716713,20020105,0.047123395,0.087371252,-5.09E-05,9.49E-05,13.39929485,0.001375746,1,2002,773.3682861
45,35.24798965,5.563588619,20020105,0.046345845,0.086723976,-7.32E-05,0.000238659,13.30924225,0.001353424,1,2002,856.6789551
46,35.23233795,5.412967682,20020105,0,0.106209248,-0.000148596,0.000520838,13.38223076,0.000854782,1,2002,947.447876